Year   Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec    J-D D-N    DJF  MAM  JJA  SON  Year
1880   -29  -20  -18  -27  -14  -28  -23   -7  -16  -16  -18  -21    -20 ***   ****  -19  -19  -17  1880
1881   -10  -13    1   -3   -4  -28   -6   -2   -8  -18  -25  -15    -11 -11    -15   -2  -12  -17  1881
1882    10   10    3  -20  -17  -24  -10    4    0  -22  -20  -25     -9  -8      2  -11  -10  -14  1882
1883   -33  -41  -17  -24  -25  -11   -8  -12  -18  -11  -19  -18    -20 -20    -33  -22  -10  -16  1883
1884   -18  -11  -33  -35  -31  -37  -33  -25  -23  -21  -29  -28    -27 -26    -15  -33  -32  -24  1884
1885   -64  -29  -23  -44  -41  -50  -28  -27  -19  -19  -22   -5    -31 -33    -41  -36  -35  -20  1885
1886   -42  -45  -41  -29  -27  -39  -16  -31  -19  -25  -26  -25    -30 -29    -31  -32  -28  -23  1886
1887   -66  -47  -31  -37  -33  -20  -18  -27  -19  -31  -25  -37    -33 -32    -46  -33  -22  -25  1887
1888   -42  -41  -47  -28  -22  -20   -9  -11   -7    2    0  -12    -20 -22    -40  -32  -13   -2  1888
1889   -20   15    5    5   -2  -11   -4  -17  -18  -22  -30  -30    -11  -9     -6    2  -11  -23  1889
1890   -47  -48  -41  -37  -47  -27  -29  -36  -36  -22  -36  -30    -36 -36    -42  -42  -31  -31  1890
1891   -46  -50  -14  -25  -17  -22  -22  -21  -13  -23  -37   -2    -24 -27    -42  -19  -21  -24  1891
1892   -25  -14  -36  -34  -25  -19  -27  -19  -25  -16  -49  -28    -27 -24    -14  -32  -22  -30  1892
1893   -68  -51  -23  -32  -34  -23  -14  -23  -18  -16  -16  -37    -30 -29    -49  -30  -20  -17  1893
1894   -55  -31  -20  -41  -30  -43  -31  -28  -22  -16  -24  -21    -30 -31    -41  -30  -34  -21  1894
1895   -43  -41  -28  -22  -22  -24  -16  -15   -1  -10  -15  -11    -21 -22    -35  -24  -19   -9  1895
1896   -22  -14  -29  -32  -19  -13   -6   -9   -4    5  -15  -11    -14 -14    -16  -27   -9   -5  1896
1897   -22  -18  -12    0    0  -12   -4   -3   -4   -9  -16  -24    -10  -9    -17   -4   -6   -9  1897
1898    -6  -32  -55  -33  -35  -21  -22  -23  -18  -31  -35  -21    -28 -28    -21  -41  -22  -28  1898
1899   -17  -39  -33  -20  -20  -25  -13   -4   -1    0   13  -26    -15 -15    -26  -24  -14    4  1899
1900   -39   -7    3  -14   -5  -14   -8   -3    2    9  -12  -13     -8 -10    -24   -5   -8    0  1900
1901   -28   -5    6   -5  -17  -10   -8  -12  -16  -29  -16  -28    -14 -13    -16   -5  -10  -20  1901
1902   -19   -4  -29  -29  -32  -34  -25  -28  -21  -28  -36  -46    -28 -26    -17  -30  -29  -28  1902
1903   -28   -7  -22  -40  -42  -45  -30  -43  -42  -41  -39  -48    -36 -35    -27  -35  -39  -41  1903
1904   -64  -55  -46  -50  -50  -49  -48  -43  -46  -35  -16  -29    -44 -46    -55  -48  -47  -32  1904
1905   -38  -58  -25  -37  -33  -32  -24  -20  -15  -24   -9  -21    -28 -29    -42  -32  -25  -16  1905
1906   -31  -33  -15   -3  -21  -22  -26  -18  -25  -20  -38  -18    -22 -23    -28  -13  -22  -28  1906
1907   -43  -51  -23  -39  -46  -43  -36  -37  -32  -24  -51  -50    -40 -37    -37  -36  -39  -36  1907
1908   -46  -35  -57  -46  -40  -39  -35  -45  -33  -43  -50  -49    -43 -43    -43  -48  -40  -42  1908
1909   -70  -46  -52  -58  -53  -51  -43  -29  -37  -38  -31  -54    -47 -46    -55  -54  -41  -35  1909
1910   -43  -42  -47  -38  -33  -36  -31  -34  -37  -39  -56  -69    -42 -41    -46  -40  -34  -44  1910
1911   -63  -60  -62  -54  -51  -46  -41  -43  -38  -26  -20  -24    -44 -48    -64  -56  -43  -28  1911
1912   -26  -13  -37  -19  -19  -25  -41  -52  -47  -55  -37  -42    -34 -33    -21  -25  -39  -46  1912
1913   -42  -44  -43  -36  -45  -46  -35  -34  -34  -34  -18   -3    -34 -38    -43  -41  -38  -29  1913
1914     2  -13  -22  -27  -20  -23  -24  -14  -13   -5  -20   -9    -16 -15     -5  -23  -20  -13  1914
1915   -18    1   -9    8   -1  -15   -3  -15  -12  -22  -12  -25    -10  -9     -9   -1  -11  -16  1915
1916   -18  -21  -31  -24  -26  -44  -34  -26  -29  -27  -40  -77    -33 -29    -21  -27  -35  -32  1916
1917   -46  -52  -46  -37  -48  -40  -22  -26  -18  -35  -27  -72    -39 -39    -58  -43  -29  -26  1917
1918   -42  -30  -18  -38  -36  -27  -20  -25  -13   -3  -15  -30    -25 -28    -48  -31  -24  -10  1918
1919   -21  -19  -24  -16  -19  -27  -20  -18  -16  -15  -28  -34    -22 -21    -23  -20  -22  -20  1919
1920   -14  -22   -7  -25  -24  -32  -31  -28  -19  -28  -32  -46    -26 -25    -23  -19  -30  -26  1920
1921    -3  -20  -27  -35  -35  -30  -15  -23  -16   -5  -15  -18    -20 -23    -23  -32  -23  -12  1921
1922   -34  -43  -12  -20  -33  -32  -25  -30  -27  -32  -16  -16    -27 -27    -32  -22  -29  -25  1922
1923   -26  -36  -31  -37  -32  -22  -28  -28  -26  -12    4   -5    -23 -24    -26  -34  -26  -11  1923
1924   -23  -26  -11  -34  -18  -27  -26  -34  -29  -35  -22  -41    -27 -24    -18  -21  -29  -29  1924
1925   -33  -33  -22  -24  -29  -32  -29  -18  -13  -16    5   11    -19 -24    -36  -25  -26   -8  1925
1926    20    8   13  -14  -23  -24  -20  -10  -10  -11   -5  -30     -9  -5     13   -8  -18   -9  1926
1927   -28  -20  -37  -30  -24  -27  -13  -18   -5   -1   -3  -35    -20 -20    -26  -30  -19   -3  1927
1928    -2  -11  -28  -28  -29  -41  -21  -25  -19  -18   -9  -20    -21 -22    -16  -28  -29  -15  1928
1929   -46  -60  -33  -40  -38  -43  -33  -29  -24  -15  -14  -55    -36 -33    -42  -37  -35  -17  1929
1930   -29  -24   -8  -26  -25  -19  -16  -10  -11   -8   14   -9    -14 -18    -36  -20  -15   -2  1930
1931   -10  -21   -6  -21  -21   -5    1    0   -6    0  -12  -10     -9  -9    -13  -16   -2   -6  1931
1932    14  -17  -20   -7  -22  -30  -23  -23  -11   -9  -26  -22    -16 -15     -4  -16  -26  -16  1932
1933   -34  -32  -28  -23  -25  -32  -20  -23  -26  -24  -31  -46    -29 -27    -29  -25  -25  -27  1933
1934   -27   -4  -30  -26  -10  -13  -11  -10  -15  -10   -1   -8    -14 -17    -26  -22  -11   -9  1934
1935   -37   12  -13  -34  -25  -22  -19  -17  -16   -7  -28  -21    -19 -18    -11  -24  -19  -17  1935
1936   -29  -39  -23  -20  -16  -18   -5  -11   -5   -3   -4   -3    -15 -16    -29  -19  -12   -4  1936
1937   -11    6  -16  -17   -6   -7   -4    4   15   10   10  -12     -2  -2     -3  -13   -2   12  1937
1938     0   -3    6    5   -7  -17   -8   -4    4   11    2  -25     -3  -2     -5    1   -9    6  1938
1939   -12  -11  -19  -12   -7   -8   -5   -4    1   -3    6   40     -3  -8    -16  -13   -6    1  1939
1940   -15    7   12   17    6    5   11    1   12    8   13   19      8  10     11   12    6   11  1940
1941    13   23    6   11   11    5   15   15    3   25   13   14     13  13     19    9   12   13  1941
1942    26    5   13   14   14   11    2   -3    0    7   13   12     10  10     15   14    4    7  1942
1943     0   22    2   13   10    0   14    3   12   30   26   29     13  12     11    8    6   22  1943
1944    41   31   34   27   27   23   23   23   31   27   12    5     25  27     34   29   23   24  1944
